4233 4243
4135 2995 17
2361 1446 5
3010 2283 12
2990 787 6
1642 2052 12
1636 900 20
4102 1969 12
3699 4082 16
1430 4196 6
2043 4053 6
2539 2532 14
272 3835 17
1310 2124 14
592 769 9
2917 1857 13
4205 651 15
1380 2824 16
1546 4230 6
2351 2753 20
751 1931 17
2028 3504 18
2549 1324 13
3142 684 13
4030 407 18
2700 4003 9
1297 1677 16
3496 2600 5
1294 1447 16
1146 432 12
3495 2093 12
1898 3688 16
4143 1553 5
3143 3545 15
2899 3840 13
2303 85 9
2562 1378 10
268 1522 9
4085 3931 8
2931 1141 19
3676 4231 15
1915 2420 10
904 2037 9
354 2515 7
138 3394 14
2629 4048 9
3020 134 17
3321 3620 11
1794 4118 8
3117 3115 17
1871 3479 17
3656 2128 7
442 2433 7
2037 681 6
4129 2962 8
73 1760 13
3441 2916 5
3963 3454 19
967 1901 12
345 2086 15
257 2019 17
3550 2590 9
3 1062 20
2500 4170 10
3808 1229 12
3218 873 17
2298 1985 12
634 1664 11
2697 2572 14
47 2670 18
521 2938 18
4083 2476 16
666 2171 17
805 1658 16
2773 326 7
2065 1990 10
2502 3515 19
2215 295 14
4162 1696 10
1091 1163 17
215 2481 11
3883 2669 5
3680 1982 10
64 3527 14
259 4226 13
3280 1019 20
3127 1689 6
987 3621 5
1127 1828 14
2951 1018 20
2068 3977 11
1684 3934 13
1321 2068 10
916 1179 14
927 3769 8
311 2756 19
283 3740 6
1216 1026 18
3103 4169 17
972 4085 8
3050 3272 15
3104 1396 10
2021 377 18
1487 2257 14
583 2960 20
2794 3427 20
2469 3039 17
568 1761 13
502 1384 11
3731 2363 10
1186 4100 7
102 1846 12
639 657 19
3957 2276 17
3296 2152 9
2345 1927 12
2304 3249 20
1418 1648 16
1879 2178 14
326 1037 11
3938 4116 18
614 3081 19
2692 1246 18
1857 1687 5
3719 2559 18
1861 2641 14
887 3227 5
60 1403 11
999 63 6
2414 2210 15
810 1073 19
1465 2400 6
911 2380 9
1350 338 16
3790 1291 14
303 3221 14
953 1523 11
3368 1480 8
3447 2757 16
985 3 6
2609 418 18
2168 3391 5
2226 891 19
4202 1705 17
3667 2043 8
2095 3700 13
103 122 11
3709 3591 7
514 2758 9
1874 1373 7
206 3425 9
3003 4037 13
1923 3570 6
3200 1077 10
3565 2751 17
2658 1490 15
2569 3699 13
900 3024 11
589 1249 18
1032 1181 10
3778 3827 15
3308 1984 15
3515 4201 8
3074 3893 5
3459 1402 11
17 1531 17
482 1423 14
3260 1592 13
3389 3091 16
1068 3041 18
3072 378 5
3209 329 16
3882 311 20
1390 1556 13
1254 652 12
2321 1119 11
1165 2329 13
2583 1392 15
2162 1333 19
1007 1876 8
1242 1914 16
782 604 20
2369 2123 9
2497 514 16
2575 2112 11
174 3217 17
1080 3220 12
651 3170 7
1906 881 17
1189 2366 18
1142 2790 7
3119 1616 7
1746 1159 15
2788 2781 5
2404 2910 13
1816 1521 18
513 2067 18
673 815 14
2883 2749 13
2112 3222 11
1043 3959 18
4196 2084 13
3137 3224 12
3982 3719 18
2980 968 15
2687 2740 11
3015 3246 20
2026 3889 14
169 190 10
4206 101 17
3252 716 8
3786 2827 8
10 4225 6
2301 58 20
982 3532 12
570 4195 19
1542 2088 8
3109 1539 17
696 2324 17
1474 922 20
3931 904 18
3839 2905 7
2356 1369 16
3461 1674 5
4012 3870 10
597 923 11
3895 3126 6
4159 489 16
2214 365 9
2837 1905 5
1239 3856 13
2025 1831 7
3398 3536 15
2923 1510 15
3848 1204 11
2918 637 8
2353 1315 9
1015 2201 7
1992 3312 18
2229 1257 18
362 1127 20
2947 1509 13
139 2797 7
2813 2766 7
68 2505 15
4099 2720 16
2646 464 9
2985 4079 11
1730 2205 19
2098 1385 20
2257 4175 9
3965 980 16
1541 861 19
3591 2317 5
3988 96 19
3649 3489 17
3764 2866 20
3171 3452 10
414 1460 13
3941 1554 13
1573 2024 16
2467 1975 11
1447 2990 15
1352 1833 8
2060 3121 19
1667 1058 7
217 3624 12
3124 327 19
3547 994 19
315 4051 14
4017 2689 14
793 2661 5
2833 1220 8
822 1289 17
736 2614 8
3359 898 10
2811 1082 7
1072 4005 15
2657 3410 7
1044 1151 6
3576 2923 6
4094 1383 20
4231 212 8
2444 987 10
4007 2044 9
2140 612 8
3254 1120 13
1910 3216 10
1956 2281 17
1129 3676 11
551 3715 17
1224 302 15
2205 4205 19
330 3059 9
1860 3348 8
1895 2869 6
705 2978 14
538 2964 5
1713 2638 11
1534 895 20
3444 307 16
2593 1986 6
329 2047 19
296 984 18
3741 3588 14
189 917 18
2937 1371 14
2194 2843 13
1499 765 9
1295 318 5
2710 2678 14
2385 3156 16
3869 683 6
426 2036 15
1276 1647 18
947 236 18
1731 1508 14
1808 2762 20
1428 2337 11
1247 1604 18
101 3826 15
2843 1008 11
3483 2529 18
1729 4156 9
3631 1004 15
4211 3322 6
3262 51 10
67 1511 9
1413 2981 19
3662 427 13
2434 2409 9
2280 3809 5
3284 2298 11
2719 3595 18
1686 2096 7
363 2676 7
396 60 17
2123 4122 15
1157 2369 40
1835 26 8
1279 319 13
3833 2159 8
3392 1346 15
4190 1486 17
2538 1897 17
3887 3104 10
488 2063 7
1093 1055 9
2232 1880 12
3600 548 18
3077 2743 14
21 3694 7
2814 3842 5
112 1850 9
2248 2489 8
4219 2504 11
1701 832 10
1846 1805 15
3583 3233 12
876 3092 7
110 1756 10
2441 3144 17
2056 2268 17
3258 3496 20
2329 1052 13
2550 1040 18
2474 4019 8
1825 3725 9
699 1311 8
1174 1966 13
1478 3027 8
274 4054 15
1173 990 8
2523 1288 7
891 3106 19
2789 3738 7
599 1099 7
809 2466 18
3311 988 18
2302 993 11
1341 713 7
2102 3611 11
3720 1909 6
3891 1946 14
413 1841 15
1078 352 5
487 55 19
2551 3668 11
1130 3972 15
1810 1250 6
1018 2081 6
3842 3412 11
1467 888 17
3831 644 11
176 2326 20
3691 737 10
2489 2189 19
4209 1699 9
3996 1517 13
1847 2429 12
304 890 5
3553 777 18
1148 1803 6
1362 2931 5
2988 3747 16
2577 868 8
2054 1394 10
874 1513 15
517 2859 13
3905 1428 15
1643 2510 15
2599 1248 5
3270 1611 10
714 1436 8
3577 2360 11
4158 1642 17
3272 3653 14
684 760 15
380 4058 8
468 3766 12
1524 1793 19
343 1746 7
1882 1194 19
1402 59 15
2104 1189 16
3934 2717 15
1798 2777 8
1460 967 16
1606 3864 15
893 2414 12
2233 2603 16
1841 2789 13
164 1847 14
2308 1441 19
1800 2703 7
1838 2374 13
1834 2027 11
3724 2935 7
4207 4074 19
3197 3537 6
1284 3523 17
4025 4093 15
873 2141 17
2823 3909 12
1490 328 5
1166 962 14
2175 1029 13
2189 415 9
418 3660 8
1446 3615 7
218 954 13
403 3927 6
849 1130 6
2360 2499 13
1176 2764 11
2270 2312 10
2627 1075 7
2675 2856 10
273 853 19
3747 1645 6
1712 547 5
1538 3482 8
3900 2993 12
2753 537 13
3681 4162 10
3534 4108 7
4032 1708 19
2235 2569 6
400 4028 16
276 2648 5
1830 98 19
2442 1912 8
2822 3671 14
2620 1351 20
3920 3768 14
385 972 16
2670 1733 18
3322 2599 10
232 577 12
2725 3650 19
3194 3682 18
2124 5 15
2799 1226 12
3651 1631 6
2522 3714 12
3501 3689 10
2200 207 6
757 219 20
3819 1137 11
2186 1675 19
1797 3459 20
1665 372 18
2480 3705 17
1974 235 17
1927 1814 11
2111 2110 14
1562 4178 18
389 1533 5
3253 4185 14
454 897 14
1520 1313 17
962 2663 13
2955 2539 7
1851 7 20
1101 3914 5
2661 3313 14
1088 1845 6
1584 4139 10
3700 1575 9
3983 434 17
4098 1406 20
1388 1641 5
3361 3619 9
2210 2484 12
163 811 70844
3991 3424 6
3354 1629 9
193 2799 11
19 1750 15
3789 3153 19
3806 2215 13
1358 3023 5
2589 4038 20
1759 3996 11
2891 2571 17
802 2254 14
